learning_rule,epoch,validation_loss_mean,validation_loss_std,validation_loss_n,replay_loss_mean,replay_loss_std,replay_loss_n,validation_loss_sem,replay_loss_sem,learning_rule_label
anti_hebbian,1,0.44742798292783226,0.10256848584024707,5,0.5900768017482523,0.22046768370207825,5,0.045870021337603414,0.0985961455199539,Anti-Hebbian
anti_hebbian,2,0.4474279786962434,0.10256849033663128,5,0.7195255245225871,0.35829888219718803,5,0.045870023348447565,0.16023613137102033,Anti-Hebbian
anti_hebbian,3,0.4474279687692887,0.10256848556745675,5,0.5049057771524523,0.1465558080393698,5,0.045870021215607876,0.0655417498546882,Anti-Hebbian
anti_hebbian,4,0.44742795787664785,0.10256848464252578,5,0.5576583693193787,0.12744528423414309,5,0.04587002080196617,0.05699526379186523,Anti-Hebbian
anti_hebbian,5,0.4474279511221952,0.10256848350398376,5,0.5899720191442007,0.13265034931295014,5,0.0458700202927947,0.0593230396605698,Anti-Hebbian
anti_hebbian,6,0.4474279501834591,0.10256848397738569,5,0.5713214699411407,0.2788193621985424,5,0.045870020504506476,0.12469180946381521,Anti-Hebbian
anti_hebbian,7,0.44742794510642436,0.10256848338920423,5,0.6852895164004799,0.1834573966144862,5,0.04587002024146373,0.08204464196102618,Anti-Hebbian
anti_hebbian,8,0.44742793705252126,0.10256848414994726,5,0.6079203352201799,0.16063037473670733,5,0.04587002058167836,0.0718360874325085,Anti-Hebbian
anti_hebbian,9,0.44742793989263435,0.10256848087597928,5,0.729885462376557,0.2158946041100878,5,0.045870019117515363,0.09655100215311235,Anti-Hebbian
anti_hebbian,10,0.447427924936633,0.10256848783134688,5,0.4642164896383124,0.12914335722344106,5,0.04587002222805032,0.05775466511883054,Anti-Hebbian
anti_hebbian,11,0.44742791294965284,0.10256848837444973,5,0.8085311058453015,0.3352143324412505,5,0.0458700224709333,0.14991240687416982,Anti-Hebbian
chl,1,0.4474196040115446,0.10256423294875759,5,0.5900768017482523,0.22046768370207825,5,0.045868119386709136,0.0985961455199539,CHL
chl,2,0.44740729663145035,0.10256022220791779,5,0.7195011360744321,0.3582938644343033,5,0.04586632572887755,0.16023388735923927,CHL
chl,3,0.44739985313064057,0.10255902927034977,5,0.5048666245790241,0.14654511519259883,5,0.045865792230978544,0.06553696786823764,CHL
chl,4,0.4473916350020165,0.10255795978954524,5,0.5576138414715166,0.1274354420643342,5,0.045865313944622635,0.05699086223971747,CHL
chl,5,0.44738445356831774,0.10255685320948625,5,0.5898946737272536,0.1326034140305334,5,0.045864819066975746,0.05930204956416441,CHL
chl,6,0.4473766868445561,0.10255284644279063,5,0.5712414202127641,0.2787745766085129,5,0.045863027186435465,0.12467178073907152,CHL
chl,7,0.44736631250308434,0.10255048470926739,5,0.6851621395288908,0.1834114513910719,5,0.04586197098709493,0.08202409463246703,CHL
chl,8,0.44735852262499326,0.10254827817006466,5,0.6077908646557899,0.1605849742257519,5,0.045860984192764465,0.07181578370676658,CHL
chl,9,0.4473500200379138,0.10254648339292864,5,0.7297400649939604,0.21584936287267908,5,0.04586018154402834,0.09653076965666593,CHL
chl,10,0.44734361508337095,0.10254586488214189,5,0.46407174747301017,0.12911221473585754,5,0.04585990493759554,0.0577407377749855,CHL
chl,11,0.4473311868774329,0.10254072449223928,5,0.808291276351305,0.33512143804974226,5,0.04585760608534492,0.14987086323934165,CHL
chl,12,0.4473205879664051,0.10253733463988722,5,0.675054551768618,0.17043190223545682,5,0.04585609009728635,0.07621946378661595,CHL
chl,13,0.447310213078503,0.10253331822677424,5,0.7872367190470204,0.3463798115069662,5,0.04585429390273708,0.15490576091262803,CHL
chl,14,0.4473000792276881,0.10252899722449202,5,0.6759430950260459,0.18192758292593555,5,0.04585236149177028,0.08136048848092439,CHL
chl,15,0.447293202870367,0.1025305472220115,5,0.5314362172714591,0.19027822222977453,5,0.045853054671733985,0.08509500790871749,CHL
chl,16,0.4472857833127445,0.10252734319984191,5,0.48843575888397206,0.16040372146903645,5,0.045851621789459465,0.07173472500974158,CHL
chl,17,0.44727645976319863,0.10252542865685135,5,0.6743297540818497,0.23194133271514183,5,0.045850765579804914,0.1037273173485906,CHL
chl,18,0.4472673427602962,0.10252290839454382,5,0.6521324589911955,0.18820786473608966,5,0.04584963848423676,0.0841691158899964,CHL
chl,19,0.4472605223569497,0.10252172613869083,5,0.5312251945802371,0.20437334619236333,5,0.04584910976334594,0.09139853897504444,CHL
