learning_rule,learning_rule_label,n_runs,mean_stability_variance,std_stability_variance,median_stability_variance,min_stability_variance,max_stability_variance
gradient_descent,Gradient Descent,5,0.0012625976750804267,0.0015760812270783733,0.0008994942764018,3.514573627043267e-05,0.0040077369123816
chl,CHL,5,0.0007006567954685993,0.0009322128897155184,0.00017027285628,7.268792722469708e-05,0.0022686770709839
qpc,QPC,5,0.002232177155477319,0.0031956305859586853,0.0010936376136955,4.405932322029404e-05,0.0078698533899079
hebbian,Pure Hebbian,5,0.0017140591138001167,0.0023215870331126484,0.0009933950240651,3.826765110358203e-05,0.0057921459355741
anti_hebbian,Anti-Hebbian,5,0.0017205721139995672,0.0023326649737352573,0.0009952945316161,3.8153122739737094e-05,0.0058184882253608
