learning_rule,learning_rule_label,n_runs,mean_absolute_improvement,std_absolute_improvement,mean_relative_improvement_percent,std_relative_improvement_percent,median_relative_improvement_percent,min_relative_improvement_percent,max_relative_improvement_percent,runs_with_positive_improvement,runs_with_negative_improvement
gradient_descent,Gradient Descent,5,0.06993504827033195,0.023674123028122177,15.401031490289046,2.325954862416169,14.265485753390314,13.136229652231851,18.924247939323863,5,0
chl,CHL,5,0.09164941466007069,0.04013666190269761,20.975141691897534,8.309470608584672,22.152883886967402,7.189486110798879,28.766119665524325,5,0
qpc,QPC,5,0.020377342379580443,0.008309218609471467,4.3843169632053645,1.0389178474892928,4.705356000788713,2.886355395263776,5.356030275773996,5,0
hebbian,Pure Hebbian,5,0.04468329188466297,0.015382939042260155,9.8063648395654,1.5325019751482851,9.201921296779423,8.417837314067258,11.919500170639084,5,0
anti_hebbian,Anti-Hebbian,5,0.04448056877511712,0.015300407421569512,9.76185916855542,1.5198830716142457,9.166554649728498,8.389183247433765,11.862105212490398,5,0
