learning_rule,seed,epochs_executed,initial_validation_loss,best_validation_loss,best_epoch,relative_improvement_pct,stability_variance,stop_reason
gradient_descent,42,300,0.3097579883738591,0.25281484585032793,300,18.38310702573528,"StabilityResult(stability_variance=7.407949900639463e-05, window_means=array([0.27683456, 0.26216487, 0.2634286 , 0.26374777, 0.2496694 ]), final_segment=array([0.30779863, 0.23921187, 0.27657065, 0.3044936 , 0.22946923,
       0.30346341, 0.25037088, 0.36285979, 0.23696493, 0.25765226,
       0.25298277, 0.21215858, 0.2234839 , 0.24866084, 0.22270975,
       0.28590654, 0.28412988, 0.3156807 , 0.24053628, 0.21019451,
       0.32626963, 0.2894913 , 0.21539524, 0.30059964, 0.23389279,
       0.26927307, 0.26988704, 0.21305804, 0.21623243, 0.29567303]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
gradient_descent,43,300,0.5909985805903136,0.3984405638319007,300,32.58180697592845,"StabilityResult(stability_variance=0.0024656237127246806, window_means=array([0.3728291 , 0.45146005, 0.47352624, 0.47423568, 0.36066387]), final_segment=array([0.31887495, 0.36434495, 0.43077204, 0.42857953, 0.40277526,
       0.29162789, 0.54309337, 0.41718621, 0.57768573, 0.44335627,
       0.35649081, 0.37094792, 0.47213303, 0.46028347, 0.44683561,
       0.43734796, 0.51200855, 0.51254881, 0.43945299, 0.56156972,
       0.52634126, 0.50307753, 0.43526842, 0.37970416, 0.33918495,
       0.35563388, 0.49231225, 0.27176177, 0.32196099, 0.38312936]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
gradient_descent,44,300,0.4796871347963805,0.32593799149693053,300,32.05196307061977,"StabilityResult(stability_variance=0.0003280241592194907, window_means=array([0.2765248 , 0.29609404, 0.31053693, 0.29163847, 0.25744133]), final_segment=array([0.30155152, 0.23991848, 0.30919251, 0.27400984, 0.24606614,
       0.2884103 , 0.27113128, 0.2616215 , 0.29955549, 0.28139069,
       0.34894091, 0.31392436, 0.28704191, 0.29188209, 0.30232754,
       0.31156648, 0.27751949, 0.39288408, 0.26361905, 0.30639468,
       0.29711982, 0.26632904, 0.31865925, 0.29770899, 0.28528908,
       0.26675657, 0.24093654, 0.20931648, 0.2800361 , 0.26231319]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
gradient_descent,45,300,0.4346853654239037,0.37102943804332644,300,14.64413859861608,"StabilityResult(stability_variance=0.0010403816924471141, window_means=array([0.34240051, 0.36904804, 0.3346996 , 0.28059004, 0.29509038]), final_segment=array([0.29995961, 0.38280752, 0.29061121, 0.27164842, 0.36604556,
       0.44333072, 0.2744125 , 0.40543032, 0.55390588, 0.42872978,
       0.3303566 , 0.22145317, 0.26544657, 0.38716573, 0.35898465,
       0.28219104, 0.32838386, 0.38602576, 0.35681579, 0.20841235,
       0.28132305, 0.28003119, 0.33332254, 0.22363531, 0.28530594,
       0.25843541, 0.36965665, 0.26265056, 0.2862247 , 0.30826903]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
gradient_descent,46,300,0.5424696655674627,0.4289139538175395,300,20.933098928423153,"StabilityResult(stability_variance=0.000777129048915915, window_means=array([0.3444924 , 0.43065201, 0.40348368, 0.3954056 , 0.39414409]), final_segment=array([0.3825328 , 0.30752366, 0.36300037, 0.30791321, 0.31892547,
       0.38705888, 0.50812844, 0.40689987, 0.38155487, 0.49231046,
       0.39761358, 0.39740486, 0.39478109, 0.35735769, 0.38403913,
       0.4579575 , 0.40957544, 0.41719123, 0.42625007, 0.37827077,
       0.53408592, 0.41038303, 0.34726537, 0.27617845, 0.43313183,
       0.5119252 , 0.45554144, 0.26727542, 0.36173968, 0.33525099]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
chl,42,300,0.3097579883738591,0.25228511843173823,300,18.55412034531765,"StabilityResult(stability_variance=7.814665624830846e-05, window_means=array([0.27460721, 0.25961867, 0.26101816, 0.26087491, 0.24669587]), final_segment=array([0.30513719, 0.23641911, 0.27457492, 0.30259863, 0.22746601,
       0.30144739, 0.24870178, 0.3593674 , 0.23581565, 0.25363671,
       0.24983793, 0.21035255, 0.22257411, 0.2450628 , 0.22094229,
       0.28350223, 0.28188553, 0.31214197, 0.23847219, 0.20737019,
       0.32229683, 0.28715509, 0.21242301, 0.29753214, 0.23120158,
       0.26742031, 0.26678088, 0.20984717, 0.21231895, 0.29260632]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
chl,43,300,0.5909985805903136,0.39270048065388913,300,33.5530585772907,"StabilityResult(stability_variance=0.0022067174897408615, window_means=array([0.36379409, 0.43719846, 0.45846856, 0.45598801, 0.34887877]), final_segment=array([0.31205246, 0.36039781, 0.42139598, 0.41525121, 0.38970008,
       0.28396699, 0.525886  , 0.40267048, 0.55786043, 0.43256637,
       0.34734758, 0.35685987, 0.45415476, 0.44498002, 0.43330944,
       0.42083011, 0.49916379, 0.49837323, 0.42480518, 0.53961509,
       0.50249728, 0.48551228, 0.41793967, 0.36555856, 0.32927518,
       0.34480672, 0.47437284, 0.26423309, 0.31552752, 0.36505728]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
chl,44,300,0.4796871347963805,0.32168457323830196,300,32.93866983219137,"StabilityResult(stability_variance=0.00031183950085369067, window_means=array([0.26891087, 0.28835784, 0.30139963, 0.28360777, 0.24987114]), final_segment=array([0.2930262 , 0.23331228, 0.30129746, 0.26477634, 0.23897518,
       0.28207775, 0.26314155, 0.25415809, 0.28950805, 0.27630668,
       0.34107876, 0.30595391, 0.27641363, 0.28321829, 0.29542715,
       0.30331674, 0.26718001, 0.38284194, 0.25610594, 0.29716766,
       0.29079407, 0.25774952, 0.31093735, 0.28889209, 0.27663944,
       0.25986602, 0.23362011, 0.20322475, 0.2711955 , 0.25468103]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
chl,45,300,0.4346853654239037,0.3704244040908999,300,14.783327538606395,"StabilityResult(stability_variance=0.0010280273972763552, window_means=array([0.34161949, 0.36732432, 0.33320824, 0.27976979, 0.29374532]), final_segment=array([0.29865283, 0.3823429 , 0.28983963, 0.2722188 , 0.36569204,
       0.44097076, 0.27419994, 0.40299227, 0.55060294, 0.42695066,
       0.32936537, 0.21983473, 0.26399223, 0.38565652, 0.3575019 ,
       0.28139444, 0.32630068, 0.38440366, 0.35488591, 0.20827573,
       0.28070163, 0.2797173 , 0.3323632 , 0.22267497, 0.28419062,
       0.25710951, 0.36707095, 0.26113672, 0.28542257, 0.30754157]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
chl,46,300,0.5424696655674627,0.42760335122397075,300,21.174698169220836,"StabilityResult(stability_variance=0.0007409005697205839, window_means=array([0.3424714 , 0.42692984, 0.39892387, 0.39144149, 0.38977377]), final_segment=array([0.38041878, 0.305802  , 0.36218574, 0.30730642, 0.31447819,
       0.38463728, 0.50283572, 0.40318813, 0.37589865, 0.48954488,
       0.39727954, 0.39283212, 0.3915547 , 0.35347045, 0.38223776,
       0.45433354, 0.40285695, 0.40908979, 0.42190771, 0.37643963,
       0.52557824, 0.40341103, 0.34456043, 0.27675188, 0.42995552,
       0.50535677, 0.4513016 , 0.26631499, 0.35672431, 0.32898943]), start_index=270, window_size=6, num_windows=5)",max_epochs_reached
